#mpa_v31_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	Subj054_time3_S43_metaphlan3_new	Subj054_time2_S42_metaphlan3_new	Subj054_time1_S41_metaphlan3_new	Subj053_time2_S40_metaphlan3_new	Subj053_time1_S39_metaphlan3	Subj052_time2_S38_metaphlan3	Subj052_time1_S37_metaphlan3	Subj049_time1_S36_metaphlan3	Subj045_time1_S35_metaphlan3	Subj044_time1_S34_metaphlan3	Subj043_time2_S33_metaphlan3	Subj043_time1_S32_metaphlan3	Subj042_time1_S31_metaphlan3	Subj041_time1_S30_metaphlan3	Subj040_time1_S29_metaphlan3	Subj039_time2_S28_metaphlan3	Subj039_time1_S27_metaphlan3	Subj035_time1_S26_metaphlan3	Subj034_time2_S25_metaphlan3	Subj034_time1_S24_metaphlan3	Subj032_time2_S23_metaphlan3	Subj032_time1_S22_metaphlan3	Subj031_time1_S21_metaphlan3	Subj030_time3_S20_metaphlan3	Subj030_time2_S19_metaphlan3	Subj030_time1_S18_metaphlan3	Subj021_time2_S17_metaphlan3	Subj021_time1_S16_metaphlan3	Subj020_time1_S15_metaphlan3	Subj017_time1_ReExtract_S44_metaphlan3	Subj016_time2_S14_metaphlan3	Subj016_time1_S13_metaphlan3	Subj015_time2_S12_metaphlan3	Subj014_time1_S11_metaphlan3	Subj013_time1_S10_metaphlan3	Subj011_time2_S9_metaphlan3	Subj011_time1_S8_metaphlan3	Subj008_time2_S7_metaphlan3	Subj008_time1_S6_metaphlan3	Subj007_time1_S5_metaphlan3	Subj004_time1_S4_metaphlan3	Subj003_time1_S3_metaphlan3	Subj001_time2_S2_metaphlan3	Subj001_time1_S1_metaphlan3
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_180	2|201174|1760|2037|2049|1654|651609	0	0	0	0	0	0	0	0	0	0	0	0	0.001978538921946	0	0	0	0	0	0	0.0383114683222593	0	0	0	0	0	0	0.0010597678557121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142016159787699	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_181	2|201174|1760|2037|2049|1654|712121	0	0	0.0143178145684992	0	0	0	0	0	0	0	0	0.0014122033370126	0	0	0	0	0	0.0025745636471037	0	0.0159492428940769	0	0	0	0.0035492090181623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_414	2|201174|1760|2037|2049|1654|712122	0	0	0	0	0	0	0	0	0	0	0	0	0.0006846372777527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_448	2|201174|1760|2037|2049|1654|712124	0	0	0	0	0	0	0	0	0	0	0	0.0056733024232588	0.0028704517058073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0031578215590255	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_897	2|201174|1760|2037|2049|1654|2081702	0	0	0	0	0.0005520517523021	0	0	0	0	0	0	0	0.0172918020702138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis	2|201174|1760|2037|2049|1654|131111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0234432414461422	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus	2|201174|1760|2037|2049|1654|1656	0	0	0	0	0	0	0	0	0	0	0	0.0011264974595823	0.0030211975284318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.2178375561753244	0.2563518043904071	0.5619573176641628	0	0.0016561552569065	0.0185500990592915	0.0054588331989129	0	2.166938702796246	0.0477006785603651	0	0	0.1562417640743074	0	1.6806478914684493	0	0	0	0	1.1474578783342206	0	0	5.162486605420964	0.0509598258952734	0	0	0.0054737356076895	0.0003559254969306	0.0033429592431972	11.610378126417103	0	0	0.0450574817136435	0	0	0	0.0005459871958126	0.0648640188547684	0.1589898691257259	3.161424944373938	0	13.408822565680746	0.003486335264234	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	0.2178375561753244	0.2563518043904071	0.5619573176641628	0	0.0016561552569065	0.0185500990592915	0.0054588331989129	0	2.166938702796246	0.0477006785603651	0	0	0.1562417640743074	0	1.6806478914684493	0	0	0	0	1.1474578783342206	0	0	5.162486605420964	0.0509598258952734	0	0	0.0054737356076895	0.0003559254969306	0.0033429592431972	11.610378126417103	0	0	0.0450574817136435	0	0	0	0.0005459871958126	0.0648640188547684	0.1589898691257259	3.161424944373938	0	13.408822565680746	0.003486335264234	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia	2|201174|1760|85004|31953|419014	0	0	0.0014960172246897	0	0.0016561552569065	0	0	0	0	0	0	0	0.0014509285427604	0	0.0234851593717639	0	0	0	0	0	0	0	0.0659371326061867	0.0379759216845595	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217678661518499	0.0186726611745184	0	0	0	0	0
